,Ticker,Company Name,Industry,Country,Market Cap
7,AAPL,Apple Inc,Technology,US,2503983.968245185
16,ABMD,ABIOMED Inc,Health Care,US,11876.20130443232
17,ABNB,Airbnb Inc,"Hotels, Restaurants & Leisure",US,73718.10934893969
59,ADBE,Adobe Inc,Technology,US,172289.51943268307
63,ADI,Analog Devices Inc,Semiconductors,US,76446.58622120452
69,ADP,Automatic Data Processing Inc,Technology,US,99092.4891792236
72,ADSK,Autodesk Inc,Technology,US,43169.8130716822
88,AEP,American Electric Power Company Inc,Utilities,US,51933.3633851768
135,AKAM,Akamai Technologies Inc,Technology,US,14029.55686292584
151,ALGN,Align Technology Inc,Health Care,US,19098.23269553247
164,ALNY,Alnylam Pharmaceuticals Inc,Biotechnology,US,24659.45789279455
186,AMAT,Applied Materials Inc,Semiconductors,US,78494.62640133275
190,AMD,Advanced Micro Devices Inc,Semiconductors,US,129533.11373020965
193,AMGN,Amgen Inc,Biotechnology,US,129651.1894283609
211,AMZN,Amazon.com Inc,Retail,US,1299015.095101416
224,ANSS,ANSYS Inc,Technology,US,21299.60788332951
232,APA,APA Corp (US),Energy ,US,12669.37281390295
268,ARCC,Ares Capital Corp,Financial Services,US,10184.58
343,ATVI,Activision Blizzard Inc,Media,US,60652.23147181948
368,AVGO,Broadcom Inc,Semiconductors,US,201997.6878951941
396,AZPN,Aspen Technology Inc,Technology,US,61324.49
454,BIIB,Biogen Inc,Biotechnology,US,28446.51069943811
470,BKNG,Booking Holdings Inc,"Hotels, Restaurants & Leisure",US,74661.890084298
503,BMRN,Biomarin Pharmaceutical Inc,Biotechnology,US,16625.877465214922
556,BSY,Bentley Systems Inc,Technology,US,10410.388278519657
651,CDNS,Cadence Design Systems Inc,Technology,US,46056.715260352095
654,CDW,CDW Corp,Electrical Equipment,US,22788.485265644245
660,CEG,Constellation Energy Corp,Utilities,US,26497.342963505816
687,CG,Carlyle Group Inc,Financial Services,US,11656.341885418862
704,CHK,Chesapeake Energy Corp,Energy ,US,12053.450594671089
711,CHRW,CH Robinson Worldwide Inc,Logistics & Transportation,US,14291.176356291086
712,CHTR,Charter Communications Inc,Media,US,65408.97512083173
724,CINF,Cincinnati Financial Corp,Insurance,US,15413.690712340767
769,CME,CME Group Inc,Financial Services,US,69978.6831885686
805,COIN,Coinbase Global Inc,Financial Services,US,14692.87722662872
820,COST,Costco Wholesale Corp,Retail,US,229946.4904102115
831,CPRT,Copart Inc,Commercial Services & Supplies,US,27665.08780824837
865,CRWD,CrowdStrike Holdings Inc,Technology,US,40002.48544953894
870,CSCO,Cisco Systems Inc,Communications,US,184645.58257037404
872,CSGP,CoStar Group Inc,Professional Services,US,28068.854404259757
885,CSX,CSX Corp,Road & Rail,US,66892.37672165137
887,CTAS,Cintas Corp,Commercial Services & Supplies,US,41061.114872228274
898,CTSH,Cognizant Technology Solutions Corp,Technology,US,32273.532873002678
901,CTXS,Citrix Systems Inc,Technology,US,13047.592228039925
967,DDOG,Datadog Inc,Technology,US,30676.48821161149
997,DLTR,Dollar Tree Inc,Retail,US,30585.311895876403
1009,DOCU,DocuSign Inc,Technology,US,10886.950962274686
1014,DOX,Amdocs Ltd,Technology,US,10291.535042298803
1048,DXCM,Dexcom Inc,Health Care,US,32191.70725257583
1057,EA,Electronic Arts Inc,Media,US,34847.41986372274
1062,EBAY,eBay Inc,Retail,US,24232.61381071499
1118,ENPH,Enphase Energy Inc,Semiconductors,US,37802.0598783048
1123,ENTG,Entegris Inc,Semiconductors,US,13716.627153215626
1136,EQIX,Equinix Inc,Real Estate,US,59499.419002
1142,ERIE,Erie Indemnity Co,Insurance,US,10040.105940224774
1159,ETSY,ETSY Inc,Retail,US,13385.09277053312
1182,EXC,Exelon Corp,Utilities,US,43716.65014965669
1186,EXPD,Expeditors International of Washington Inc,Logistics & Transportation,US,16634.388981551685
1187,EXPE,Expedia Group Inc,"Hotels, Restaurants & Leisure",US,16086.73443297552
1200,FANG,Diamondback Energy Inc,Energy ,US,23807.583855968303
1204,FAST,Fastenal Co,Trading Companies & Distributors,US,29004.041136027477
1254,FISV,Fiserv Inc,Technology,US,64879.436523785895
1255,FITB,Fifth Third Bancorp,Banking,US,23104.00310069237
1297,FOXA,Fox Corp,Media,US,17916.62988838059
1329,FSLR,First Solar Inc,Semiconductors,US,13474.617781401435
1345,FTNT,Fortinet Inc,Technology,US,38322.10794297838
1408,GFS,Globalfoundries Inc,Semiconductors,US,31240.60652098693
1423,GILD,Gilead Sciences Inc,Biotechnology,US,79989.90572879447
1440,GLPI,Gaming and Leisure Properties Inc,Real Estate,US,12379.544794
1468,GOOGL,Alphabet Inc,Media,US,1412379.588604426
1532,HAS,Hasbro Inc,Leisure Products,US,10869.163003677562
1534,HBAN,Huntington Bancshares Inc,Banking,US,19210.028389821982
1597,HOLX,Hologic Inc,Health Care,US,16856.579373521192
1598,HON,Honeywell International Inc,Industrial Conglomerates,US,125906.3551963302
1623,HST,Host Hotels & Resorts Inc,Real Estate,US,12415.67882
1660,IBKR,Interactive Brokers Group Inc,Financial Services,US,26132.83507672571
1682,IDXX,IDEXX Laboratories Inc,Health Care,US,28625.119160064667
1685,IEP,Icahn Enterprises LP,Industrial Conglomerates,US,16467.03567845642
1703,ILMN,Illumina Inc,Life Sciences Tools & Services,US,30841.810847538032
1732,INCY,Incyte Corp,Biotechnology,US,15616.85444718206
1753,INTC,Intel Corp,Semiconductors,US,128189.3209240176
1757,INTU,Intuit Inc,Technology,US,118798.2059310127
1800,ISRG,Intuitive Surgical Inc,Health Care,US,72732.83333710812
1830,JBHT,J B Hunt Transport Services Inc,Road & Rail,US,17517.4298206001
1841,JKHY,Jack Henry & Associates Inc,Technology,US,13938.285686260238
1873,KDP,Keurig Dr Pepper Inc,Beverages,US,53571.50333804174
1879,KHC,Kraft Heinz Co,Food Products,US,45721.1560303931
1885,KLAC,KLA Corp,Semiconductors,US,47539.71760321259
1952,LCID,Lucid Group Inc,Automobiles,US,25359.75071146424
2009,LKQ,LKQ Corp,Distributors,US,14666.14331413732
2022,LNT,Alliant Energy Corp,Utilities,US,15429.454778595233
2036,LPLA,LPL Financial Holdings Inc,Financial Services,US,17489.526695701665
2043,LRCX,Lam Research Corp,Semiconductors,US,58933.51957890808
2090,MAR,Marriott International Inc,"Hotels, Restaurants & Leisure",US,50055.550720756735
2115,MCHP,Microchip Technology Inc,Semiconductors,US,35635.23054437088
2121,MDB,MongoDB Inc,Technology,US,16679.31583223587
2126,MDLZ,Mondelez International Inc,Food Products,US,83234.48466450653
2148,META,Meta Platforms Inc,Media,US,430887.5957315182
2205,MNST,Monster Beverage Corp,Beverages,US,46571.40917219258
2230,MPWR,Monolithic Power Systems Inc,Semiconductors,US,19858.18805832185
2241,MRNA,Moderna Inc,Biotechnology,US,54208.51684017215
2248,MRVL,Marvell Technology Group Ltd,Semiconductors,US,48974.38
2253,MSFT,Microsoft Corp,Technology,US,1909667.8037647335
2262,MTCH,Match Group Inc,Media,US,15615.192536397111
2273,MU,Micron Technology Inc,Semiconductors,US,62140.16731532716
2318,NDAQ,Nasdaq Inc,Financial Services,US,29316.382036427403
2321,NDSN,Nordson Corp,Machinery,US,12800.320971413565
2335,NFE,New Fortress Energy Inc,Energy ,US,11548.429574159036
2336,NFLX,Netflix Inc,Media,US,100552.3795860912
2351,NLOK,NortonLifeLock Inc,Technology,US,13050.064157716564
2387,NTAP,NetApp Inc,Technology,US,15662.686622487809
2396,NTRS,Northern Trust Corp,Financial Services,US,19459.134510273467
2410,NVDA,NVIDIA Corp,Semiconductors,US,339810.2880949828
2457,ODFL,Old Dominion Freight Line Inc,Road & Rail,US,30428.200340235
2470,OKTA,Okta Inc,Technology,US,10197.259069377556
2488,ON,ON Semiconductor Corp,Semiconductors,US,29247.791215527563
2521,ORLY,O'Reilly Automotive Inc,Retail,US,44493.76371754017
2564,PANW,Palo Alto Networks Inc,Technology,US,53723.40535960526
2566,PARA,Paramount Global,Media,US,15122.94540110145
2575,PAYX,Paychex Inc,Technology,US,43512.73941681369
2584,PCAR,Paccar Inc,Machinery,US,30067.240732146907
2593,PCTY,Paylocity Holding Corp,Technology,US,13032.813985743293
2613,PEP,PepsiCo Inc,Beverages,US,235525.28691815172
2627,PFG,Principal Financial Group Inc,Insurance,US,18553.227308306912
2671,PLUG,Plug Power Inc,Electrical Equipment,US,14970.863821260951
2690,PODD,Insulet Corp,Health Care,US,17652.8062382241
2694,POOL,Pool Corp,Distributors,US,13456.85479888592
2748,PTC,PTC Inc,Technology,US,13514.50761722396
2779,PYPL,PayPal Holdings Inc,Technology,US,105389.64656005288
