Ticker,Company Name,Industry,Country,Market Cap
AACG,ATA Creativity Global,Diversified Consumer Services,CN,77.046024
AACI,Armada Acquisition Corp I,N/A,US,204.81683206494165
AADI,Aadi Bioscience Inc,Biotechnology,US,282.88655749005164
AAL,American Airlines Group Inc,Airlines,US,8441.499053754062
AAME,Atlantic American Corp,Insurance,US,60.583536
AAOI,Applied Optoelectronics Inc,Communications,US,63.29386124311926
AAON,Aaon Inc,Building,US,3025.587811219538
AAPL,Apple Inc,Technology,US,2503983.9682451854
AATC,Autoscope Technologies Corp,Electrical Equipment,US,27.18285756528376
AAWW,Atlas Air Worldwide Holdings Inc,Logistics & Transportation,US,2830.96557530494
ABCB,Ameris Bancorp,Banking,US,3194.724140278788
ABCL,Abcellera Biologics Inc,Life Sciences Tools & Services,CA,3090.9027872917795
ABC.L,Abcam PLC,Biotechnology,GB,2769.957954
ABEO,Abeona Therapeutics Inc,Biotechnology,US,21.242863370689662
ABGI,ABG Acquisition I Corp,N/A,US,191.39224199392712
ABIO,ARCA Biopharma Inc,Biotechnology,US,33.863835280172424
ABMD,ABIOMED Inc,Health Care,US,11876.201304432321
ABNB,Airbnb Inc,"Hotels, Restaurants & Leisure",US,73718.10934893969
ABOS,Acumen Pharmaceuticals Inc,Biotechnology,US,233.69226982101807
ABSI,Absci Corp,Life Sciences Tools & Services,US,314.73960625
ABST.TO,Absolute Software Corp,Technology,CA,727.831602
ABTX,Allegiance Bancshares Inc,Banking,US,841.3204434262101
ABUS,Arbutus Biopharma Corp,Biotechnology,US,331.39083661572056
ABVC,ABVC Biopharma Inc,Biotechnology,US,33.28497346153847
ACAB,Atlantic Coastal Acquisition Corp II,N/A,US,375.0
ACAC,Acri Capital Acquisition Corp,N/A,US,107.5970936404607
ACAD,ACADIA Pharmaceuticals Inc,Biotechnology,US,2707.636626912864
ACAH,Atlantic Coastal Acquisition Corp,N/A,US,423.056268
ACAX,Alset Capital Acquisition Corp,N/A,US,111.87470300453401
ACB.TO,Aurora Cannabis Inc,Pharmaceuticals,CA,515.30224
ACBA,Ace Global Business Acquisition Ltd,N/A,HK,62.961599051094886
ACCD,Accolade Inc,Health Care,US,714.9427093856459
ACER,Acer Therapeutics Inc,Pharmaceuticals,US,21.84156510215746
ACET,Adicet Bio Inc,Biotechnology,US,572.8407288393236
ACEV,ACE Convergence Acquisition Corp,N/A,US,98.79508500000001
ACGL,Arch Capital Group Ltd,Insurance,BM,16795.741979997816
ACHC,Acadia Healthcare Company Inc,Health Care,US,7277.273559024346
ACHL,Achilles Therapeutics PLC,Biotechnology,GB,119.467864
ACHV,Achieve Life Sciences Inc,Biotechnology,US,44.439713676404494
ACIU,AC Immune SA,Biotechnology,CH,243.13719595932204
ACIW,ACI Worldwide Inc,Technology,US,2583.170384858125
ACLS,Axcelis Technologies Inc,Semiconductors,US,2094.011960568529
ACLX,Arcellx Inc,Biotechnology,US,795.5197458085454
ACMR,ACM Research Inc,Semiconductors,US,946.5103725166146
ACNB,ACNB Corp,Banking,US,294.424132204298
ACNT,Ascent Industries Co,Metals & Mining,US,158.4071894811083
ACON,Aclarion Inc,Health Care,US,9.22938781132075
ACOR,Acorda Therapeutics Inc,Biotechnology,US,9.66251759216293
ACQR,Independence Holdings Corp,N/A,US,537.233651
ACRS,Aclaris Therapeutics Inc,Pharmaceuticals,US,1141.420364970964
ACRX,AcelRx Pharmaceuticals Inc,Pharmaceuticals,US,43.46292900000001
ACST.V,Acasti Pharma Inc,Pharmaceuticals,CA,47.43392208475915
ACT,Enact Holdings Inc,Financial Services,US,4043.381947142626
ACTG,Acacia Research Corp,Financial Services,US,163.56727519036696
ACVA,ACV Auctions Inc,Commercial Services & Supplies,US,1324.5157224314662
ACXP,Acurx Pharmaceuticals Inc,Biotechnology,US,38.60775425
ADAG,Adagene Inc,Biotechnology,CN,64.641271
ADAL,Anthemis Digital Acquisitions I Corp,N/A,US,303.0824954977578
ADAP,Adaptimmune Therapeutics PLC,Biotechnology,GB,312.563041
ADBE,Adobe Inc,Technology,US,172289.51943268307
ADER,26 Capital Acquisition Corp,N/A,US,339.6249904929756
ADES,Advanced Emissions Solutions Inc,Chemicals,US,68.93733947765362
ADGI,Adagio Therapeutics Inc,Biotechnology,US,520.2099014989201
ADI,Analog Devices Inc,Semiconductors,US,76446.58622120452
ADIL,Adial Pharmaceuticals Inc,Pharmaceuticals,US,13.13122736062751
ADMA,ADMA Biologics Inc,Biotechnology,US,551.7636379851302
ADMP,Adamis Pharmaceuticals Corp,Pharmaceuticals,US,49.16451139321117
ADN,Advent Technologies Holdings Inc,Electrical Equipment,US,152.31294308064517
ADOC,Edoc Acquisition Corp,N/A,US,56.08695699999999
ADP,Automatic Data Processing Inc,Technology,US,99092.4891792236
ADPT,Adaptive Biotechnologies Corp,Life Sciences Tools & Services,US,1245.8524789518478
ADSE,Ads-Tec Energy PLC,Electrical Equipment,IE,393.391674
ADSK,Autodesk Inc,Technology,US,43169.8130716822
ADTH,AdTheorent Holding Company Inc,Media,US,228.29925160159365
ADTN,ADTRAN Inc,Communications,US,1942.4712476041836
ADTX,Aditxt Inc,Biotechnology,US,8.0153330977131
ADUS,Addus Homecare Corp,Health Care,US,1413.783255875344
ADV,Advantage Solutions Inc,Media,US,1098.8365633146068
ADVM,Adverum Biotechnologies Inc,Biotechnology,US,110.26027419642857
ADXN.SW,Addex Therapeutics Ltd,Biotechnology,CH,6.48628
AEAC,Authentic Equity Acquisition Corp,N/A,US,297.2999950000001
AEAE,Altenergy Acquisition Corp,N/A,US,286.349993021021
AEHA,Aesther Healthcare Acquisition Corp,N/A,US,134.82887500000004
AEHL,Antelope Enterprise Holdings Ltd,Building,HK,5.32597587579068
AEHR,Aehr Test Systems,Semiconductors,US,368.60219593786985
AEI,Alset Ehome International Inc,Real Estate,US,39.17619740592592
AEIS,Advanced Energy Industries Inc,Electrical Equipment,US,3234.9139511628982
AEMD,Aethlon Medical Inc,Health Care,US,22.89999796644636
AEP,American Electric Power Company Inc,Utilities,US,51933.3633851768
AERC,AeroClean Technologies Inc,Building,US,45.91835048231512
AERI,Aerie Pharmaceuticals Inc,Pharmaceuticals,US,749.7770693720316
AESE,Allied Esports Entertainment Inc,"Hotels, Restaurants & Leisure",US,55.110511773225745
AEY,ADDvantage Technologies Group Inc,Electrical Equipment,US,26.419621085
AEYE,AudioEye Inc,Technology,US,75.78428221230769
AEZS.TO,Aeterna Zentaris Inc,Biotechnology,CA,28.406874
AFAC,Arena Fortify Acquisition Corp,N/A,US,216.48750198223095
AFAQ,AF Acquisition Corp,N/A,US,274.96000200408156
AFAR,Aura FAT Projects Acquisition Corp,N/A,SG,144.32045002511302
AFBI,Affinity Bancshares Inc,Banking,US,98.45569
AFCG,AFC Gamma Inc,Real Estate,US,331.030728
AFIB,Acutus Medical Inc,Health Care,US,29.221456398230092
AFMD,Affimed NV,Biotechnology,DE,382.3738466962962
AFRI,Forafric Global PLC,N/A,GI,265.09758544077664
AFRM,Affirm Holdings Inc,Technology,US,6489.597894542315
AFYA,Afya Ltd,Diversified Consumer Services,BR,1179.4794029285167
AGBA,AGBA Acquisition Ltd,N/A,HK,54.05910964432765
AGEN,Agenus Inc,Biotechnology,US,727.7286652380952
AGFS,AgroFresh Solutions Inc,Chemicals,US,88.5194992687043
AGFY,Agrify Corp,Machinery,US,17.49982550264706
AGGR,Agile Growth Corp,N/A,US,382.46250399595135
AGIL,AgileThought Inc,Technology,US,202.41213626213593
AGIO,Agios Pharmaceuticals Inc,Biotechnology,US,1745.9549138443938
AGLE,Aeglea Bio Therapeutics Inc,Biotechnology,US,31.80970757946211
AGMH,AGM Group Holdings Inc,Financial Services,HK,61.4199540224359
AGNC,AGNC Investment Corp,Real Estate,US,6183.81115
AGRI,AgriFORCE Growing Systems Ltd,Food Products,CA,30.3324825
AGRX,Agile Therapeutics Inc,Pharmaceuticals,US,14.828748976377948
AGTC,Applied Genetic Technologies Corp,Biotechnology,US,26.789570690945368
AGYS,Agilysys Inc,Technology,US,1247.6230591129709
AHCO,Adapthealth Corp,Health Care,US,2364.5533957292723
AHG,Akso Health Group,Financial Services,CN,23.592686
AHI.AX,Advanced Human Imaging Ltd,Technology,AU,41.221098
AHPA,Avista Public Acquisition Corp II,N/A,US,292.3875019999999
AHPI,Allied Healthcare Products Inc,Health Care,US,7.34477270068248
AHRN,Ahren Acquisition Corp,N/A,KY,374.997516
AIB,AIB Acquisition Corp,N/A,US,112.97233436807979
AIH,Aesthetic Medical International Holdings Group Ltd,Health Care,CN,46.900102
AIHS,Senmiao Technology Ltd,Financial Services,CN,6.36144777019072
AIKI,Aikido Pharma Inc,Biotechnology,US,30.22186648180243
AIMC,Altra Industrial Motion Corp,Machinery,US,2414.6162885033127
AIMD,Ainos Inc,Biotechnology,US,36.03479783707866
AIP,Arteris Inc,Technology,US,228.45909171246464
