Ticker,Company Name,Industry,Country,Market Cap
UAL,United Airlines Holdings Inc,Airlines,US,11537.355102061398
DAL,Delta Air Lines Inc,Airlines,US,19838.664268973946
LUV,Southwest Airlines Co,Airlines,US,21799.68546636036
LCID,Lucid Group Inc,Automobiles,US,25359.75071146424
TSLA,Tesla Inc,Automobiles,US,846694.9319708706
GM,General Motors Co,Automobiles,US,56091.14511180861
CLX,Clorox Co,Consumer products,US,17593.84173068471
DHI,D R Horton Inc,Consumer products,US,24803.23055976336
PG,Procter & Gamble Co,Consumer products,US,327751.2190463023
ABC,Amerisourcebergen Corp,Health Care,US,30614.092180801574
CAH,Cardinal Health Inc,Health Care,US,19345.654492641475
COO,Cooper Companies Inc,Health Care,US,14580.411711203717
ABNB,Airbnb Inc,"Hotels, Restaurants & Leisure",US,73718.10934893969
LVS,Las Vegas Sands Corp,"Hotels, Restaurants & Leisure",US,27670.091757438146
MCD,McDonald's Corp,"Hotels, Restaurants & Leisure",US,187247.3916018625
CHRW,CH Robinson Worldwide Inc,Logistics & Transportation,US,14291.176356291086
EXPD,Expeditors International of Washington Inc,Logistics & Transportation,US,16634.388981551685
FDX,FedEx Corp,Logistics & Transportation,US,54234.98257348362
BMY,Bristol-Myers Squibb Co,Pharmaceuticals,US,146499.86324520322
LLY,Eli Lilly and Co,Pharmaceuticals,US,286316.1784193617
ZTS,Zoetis Inc,Pharmaceuticals,US,73488.39123683721
ARE,Alexandria Real Estate Equities Inc,Real Estate,US,24760.790199
CUBE,CubeSmart,Real Estate,US,10428.125301
DRE,Duke Realty Corp,Real Estate,US,22870.163441
TMUS,T-Mobile US Inc,Telecommunication,US,178048.77579601042
LUMN,Lumen Technologies Inc,Telecommunication,US,10198.093544841113
T,AT&T Inc,Telecommunication,US,122495.94000000002
DDOG,Datadog Inc,Technology,US,30676.48821161149
BILL,Bill.com Holdings Inc,Technology,US,15688.310199153932
FICO,Fair Isaac Corp,Technology,US,11105.550740516508
